Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19270117,-0.05,-1.48,-0.54,0.55,-0.15,0.02,-0.41,1.08,-0.14,0.57
19270118,-0.38,0.21,-0.01,-0.24,-0.31,-0.2,0.49,0.51,0.22,-0.02
19270119,0.22,1.58,0.87,0.79,1.11,-0.14,0.55,0.43,0.75,0.24
19270120,-0.21,-0.1,-0.22,-0.43,-0.41,-0.29,-0.74,-0.23,0.35,0.12
19270121,0.13,0.09,-0.08,-0.32,0.02,0.19,0.91,-0.21,-0.51,0.13
19270122,-0.15,-1.18,-0.35,-0.44,-0.21,0.17,-0.97,-0.39,0.05,-0.19
19270124,-0.44,-1.16,-0.43,-0.42,-0.84,-0.37,-0.77,0.01,-0.89,-0.15
19270125,-0.82,-0.12,-0.98,-1.23,-0.8,0.04,-0.83,-2.05,-1.6,-1.83
19270126,0.04,0.06,0.49,0.3,-0.12,-0.06,-0.23,0.65,-0.02,0.4
19270127,-0.06,0.26,-0.38,-0.35,-0.63,0.17,-0.7,-0.11,-0.69,-0.53
19270128,0.48,0.01,0.32,-0.03,0.36,0.01,0.44,1.32,0.11,0.02
19270129,0.4,1.63,0.82,0.67,0.29,0.26,1.25,0.6,0.44,0.82
19270131,0.07,1.47,0.64,0.92,0.69,0.09,0.83,0.27,0.46,0.49
19270201,-0.05,-0.14,-0.17,0.03,0.49,0.16,-0.18,0,-0.1,0.11
19270202,0.15,1.44,0.72,0.88,0.4,0.15,0.35,0.3,0.73,1.02
19270203,0.18,0.64,0.31,-0.26,0.26,0.28,0.77,0.17,-0.2,0.14
19270204,0.15,-0.67,0.02,1.87,-0.1,0.11,-0.39,-0.15,0.36,0.36
19270205,-0.04,-0.53,-0.26,-0.12,-0.41,0.09,-0.45,-0.17,0.05,-0.08
19270207,0,0.85,-0.07,-0.72,0.02,0.05,-0.24,-0.66,-0.44,0.12
19270208,0.02,0.16,-0.15,0.03,-0.31,-0.09,-0.12,0.38,0.21,0.58
19270209,0.65,-0.53,0.09,0.1,1.13,-0.19,0.53,-0.09,-0.42,-0.21
